"","X","id","load_entry_id","file_descriptor","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_il_6m","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_il_6m","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount"
"168851",168851,3761868,-2140141507,"3d",NA,10000,10000,10000,"36 months","6.89%",308.27,"A","A3","Human Resource Specialist","6 years","MORTGAGE",75696,"Source Verified","Jun-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","760xx","TX",7.48,1,"Nov-2002",0,19,NA,6,0,8401,"43.8%",21,"w",0,0,10873.5414812304,10873.54,10000,873.54,0,0,0,"Feb-2017",5024.07,"","Feb-2017",0,60,1,"Individual",NA,NA,"",0,0,66088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19200,NA,NA,NA,0,11015,2109,67.6,0,0,115,151,38,38,2,42,25,NA,19,2,1,3,1,5,5,5,14,3,6,0,0,0,0,71.4,0,0,0,84200,8401,6500,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"697107",697107,3262271,-2140141509,"3b",NA,14800,14800,14800,"36 months","19.22%",544.16,"D","D5","fresno credit bureau","10+ years","MORTGAGE",40000,"Not Verified","Jun-2012","Fully Paid","n",NA,"","debt_consolidation","debt consolidation","937xx","CA",26.46,0,"Apr-1997",0,NA,NA,15,0,13069,"95.4%",22,"f",0,0,15496.3116572274,15496.31,14800,696.31,0,0,0,"Sep-2012",14412.03,"","Sep-2015",0,NA,1,"Individual",NA,NA,"",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,224,97.5,0,0,NA,NA,NA,NA,0,46,NA,8,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,100,0,0,NA,25413,8800,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"367045",367045,3397473,-2140141508,"3c",NA,6000,6000,6000,"36 months","10.99%",196.41,"B","B3","Policy Processor","2 years","RENT",30000,"Source Verified","Jul-2014","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","554xx","MN",28.36,0,"Sep-2007",2,NA,NA,18,0,6204,"75.7%",21,"f",0,0,6907.800002881,6907.8,6000,907.8,0,0,0,"May-2016",2783.19,"","Mar-2017",0,NA,1,"Individual",NA,NA,"",0,0,62088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8200,NA,NA,NA,4,3449,1996,75.7,0,0,82,14,4,4,0,4,NA,1,NA,0,3,3,3,3,18,3,3,3,18,0,0,0,3,100,66.7,0,0,69044,62088,8200,60844,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"603865",603865,3165897,-2140141509,"3b",NA,24575,24575,24575,"60 months","17.56%",618.18,"D","D1","Mercedes Benz","8 years","MORTGAGE",55000,"Verified","Jul-2013","Fully Paid","n",NA,"","debt_consolidation","New Start","272xx","NC",21.34,1,"Oct-2003",0,19,NA,9,0,11561,"65.3%",20,"w",0,0,31783.21,31783.21,24575,7208.21,0,0,0,"Jun-2015",18183.25,"","Jun-2015",0,NA,1,"Individual",NA,NA,"",0,0,41055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17700,NA,NA,NA,3,5132,796,92.1,0,0,118,102,19,15,1,38,19,13,19,0,2,3,3,4,10,5,9,3,9,0,0,0,0,94,100,0,0,60144,41055,10100,42444,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"458813",458813,3500178,-2140141508,"3c",NA,35000,35000,35000,"36 months","9.67%",1123.94,"B","B1","Supervisor","9 years","MORTGAGE",115000,"Verified","Jan-2014","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","077xx","NJ",24.69,0,"Mar-1996",0,NA,NA,13,0,29899,"61.9%",19,"w",0,0,38918.58,38918.58,35000,3918.58,0,0,0,"Jul-2015",20935.54,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,314935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74600,NA,NA,NA,2,24226,32002,78.1,0,0,106,214,21,10,1,81,NA,10,NA,0,4,9,4,4,7,10,11,9,13,0,0,0,1,100,25,0,0,395102,50080,50300,36737,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"610190",610190,3172642,-2140141509,"3b",NA,19750,19750,19750,"36 months","14.09%",675.88,"B","B5","Aspen IGH -part of Allina Health","10+ years","MORTGAGE",45000,"Verified","Jun-2013","Fully Paid","n",NA,"Borrower added on 06/15/13 > I would like to pay off as much of my credit card debt as possible and purchase a few items I need for my house.<br><br> Borrower added on 06/15/13 > I would like to pay off as much of my credit card debt as possible and purchase few items I need for my home.<br><br> Borrower added on 06/15/13 > I would like to pay off as much of my credit card debt as possible and purchase a lawn mower and dehumidifer for my home. I have been with the same company for 29 years and plan to retire from this company. Recently I have had a string of negative events in my life, which created the debt.<br>","debt_consolidation","digging out and fixing up","550xx","MN",32.91,0,"Apr-1978",0,NA,109,10,1,20137,"77.7%",15,"f",0,0,22740.4000026907,22740.4,19750,2990.4,0,0,0,"Oct-2014",13279.45,"","Nov-2015",0,NA,1,"Individual",NA,NA,"",0,0,53772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25900,NA,NA,NA,1,5377,486,97.1,0,0,130,428,11,11,0,11,NA,11,NA,0,4,7,4,4,4,8,11,7,10,0,0,0,1,100,100,1,0,77972,53772,16800,52072,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"661360",661360,3226267,-2140141509,"3b",NA,34200,34200,34175,"36 months","12.12%",1137.9,"B","B3","The Boeing Company","10+ years","OWN",120000,"Source Verified","Dec-2012","Fully Paid","n",NA,"","debt_consolidation","Debt Free","917xx","CA",13.51,1,"Jan-1977",1,22,NA,12,0,33213,"58.2%",29,"f",0,0,35212.7348151754,35186.99,34200,1012.73,0,0,0,"Apr-2013",32939.33,"","Apr-2013",0,NA,1,"Individual",NA,NA,"",0,0,42894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57100,NA,NA,NA,1,3575,20531,61.6,0,0,134,437,2,2,0,2,NA,2,22,0,6,7,8,19,2,11,27,7,12,0,0,0,1,96,12.5,0,0,76603,42894,53400,19503,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"743663",743663,4153827,-2140141505,"2016Q2",NA,9575,9575,9575,"60 months","14.46%",225.09,"C","C4","Pipefitter","5 years","OWN",54000,"Source Verified","Apr-2016","Charged Off","n",NA,"","home_improvement","Home improvement","080xx","NJ",13.89,0,"Apr-2007",1,NA,NA,15,0,4919,"24.1%",37,"f",0,0,725.26,725.26,333.11,392.15,0,0,0,"Aug-2016",225.09,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,36826,0,NA,0,2,22,31907,93,1,3,8,67,20400,2,0,2,5,2630,11885,0.1,0,0,77,108,10,10,0,10,NA,1,NA,0,2,3,6,14,12,10,24,3,15,0,0,0,1,100,0,0,0,54807,36826,11900,34407,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"641112",641112,3205247,-2140141509,"3b",NA,18200,18200,18200,"60 months","16.29%",445.4,"C","C4","Department of Veterans Affairs","8 years","RENT",110000,"Verified","Mar-2013","Fully Paid","n",NA,"","debt_consolidation","Bill and Personal use","951xx","CA",15.63,0,"Nov-2000",0,NA,NA,12,0,10368,"83.6%",22,"f",0,0,25975.9600147698,25975.96,18200,7775.96,0,0,0,"Nov-2016",6823.76,"","Jul-2017",0,NA,1,"Individual",NA,NA,"",0,0,54437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12400,NA,NA,NA,4,4536,1060,88.2,0,0,150,102,10,4,0,10,NA,20,NA,0,5,7,5,10,10,7,12,7,12,0,0,0,3,100,80,0,0,77604,54437,9000,65204,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"95029",95029,3606074,-2140141507,"3d",NA,14000,14000,14000,"36 months","7.26%",433.95,"A","A4","PHARMACY DIRECTOR","4 years","MORTGAGE",125000,"Source Verified","Oct-2015","Fully Paid","n",NA,"","home_improvement","Home improvement","763xx","TX",5.89,0,"Dec-1989",0,36,NA,13,0,11418,"39.5%",30,"w",0,0,15416.666455807,15416.67,14000,1416.67,0,0,0,"Oct-2017",5447.11,"","Oct-2017",0,NA,1,"Individual",NA,NA,"",0,0,181516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28900,NA,NA,NA,7,15126,1626,76.4,0,0,151,310,7,7,6,18,36,16,36,0,2,6,4,5,5,11,19,6,13,0,0,0,1,93.3,33.3,0,0,209176,23080,6900,17283,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"173922",173922,3771696,-2140141507,"3d",NA,12000,12000,12000,"36 months","7.89%",375.43,"A","A5","Computer Engineer","10+ years","MORTGAGE",115000,"Not Verified","Jun-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","751xx","TX",17.64,0,"May-1986",0,56,81,9,1,5708,"96.7%",38,"w",0,0,12257.22,12257.22,12000,257.22,0,0,0,"Sep-2015",11511.62,"","Aug-2017",0,56,1,"Individual",NA,NA,"",0,0,311420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5900,NA,NA,NA,4,34602,192,96.7,0,0,298,349,30,8,4,30,81,9,81,8,2,2,2,10,20,2,12,2,9,0,0,0,2,78.9,100,1,0,354362,108565,5900,116462,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"544643",544643,3102118,-2140141509,"3b",NA,28000,28000,28000,"36 months","8.90%",889.09,"A","A5","Principal","1 year","MORTGAGE",220000,"Source Verified","Dec-2013","Fully Paid","n",NA,"Borrower added on 12/02/13 > Payoff American Express credit card balance<br>","debt_consolidation","Debt consolidation","750xx","TX",17.5,1,"Aug-1995",1,16,NA,14,0,18341,"57%",36,"w",0,0,31025.58,31025.58,28000,3025.58,0,0,0,"Jun-2015",15911.05,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,638565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32200,NA,NA,NA,6,45612,13859,57,0,0,198,206,64,5,5,64,16,6,16,0,3,3,3,6,23,3,7,3,14,0,0,0,3,97.1,33.3,0,0,714194,125415,32200,105255,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"682072",682072,3247236,-2140141509,"3b",NA,20675,20675,20675,"36 months","18.49%",752.55,"D","D2","LifePort Inc.","4 years","MORTGAGE",52000,"Verified","Sep-2012","Charged Off","n",NA,"Borrower added on 09/05/12 > This will close out 4 of my highest balances and highest interest rate credit cards. In doing so will lower the amount I pay each month while allowing me to be debt free in 3 years.<br>","debt_consolidation","Lower Interest Rate","986xx","WA",16.57,0,"Mar-1998",0,NA,NA,14,0,22069,"54%",36,"f",0,0,16556.1000000001,16556.1,11254.82,5288.36,0,12.92,0,"Jul-2014",752.55,"","Feb-2017",0,NA,1,"Individual",NA,NA,"",0,0,171111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40900,NA,NA,NA,3,12222,12431,64,0,0,130,176,11,9,3,11,NA,10,NA,0,7,7,9,19,3,13,30,7,14,0,0,0,2,100,44.4,0,0,191410,22069,34500,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"302111",302111,3323133,-2140141508,"3c",NA,15125,15125,15125,"36 months","13.35%",512.18,"C","C2","facility maintenance,kitchen manager","10+ years","RENT",45000,"Not Verified","Oct-2014","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","150xx","PA",23.17,0,"Jul-2001",0,NA,NA,11,0,22052,"64.5%",23,"w",0,0,18342.6374741948,18342.64,15125,3217.64,0,0,0,"Apr-2017",3500.64,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,400,25268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34200,NA,NA,NA,2,2297,4951,81.5,0,0,137,159,9,9,0,9,NA,8,NA,0,7,8,7,14,3,10,20,8,11,0,0,0,1,100,71.4,0,0,45572,25268,26700,11372,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"395588",395588,3429951,-2140141508,"3c",NA,35000,35000,35000,"60 months","16.29%",856.54,"D","D2","Parts and Service Director","5 years","MORTGAGE",110000,"Source Verified","May-2014","Charged Off","n",NA,"","debt_consolidation","Debt consolidation","797xx","TX",17.5,0,"May-1998",0,NA,NA,11,0,23605,"56.2%",23,"f",0,0,20585.1,20585.1,9184.3,8830.24,0,2570.56,462.700799992,"Mar-2016",856.54,"","Oct-2016",0,NA,1,"Individual",NA,NA,"",0,0,425931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42000,NA,NA,NA,4,38721,11157,60.7,0,0,134,192,2,2,5,2,NA,17,NA,0,6,8,6,7,6,8,12,8,11,0,0,0,2,100,50,0,0,465747,76665,28400,67497,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
